State,MAP_score
Alabama,-10
,
Alaska,8.5
,
Arizona,4
,
Arkansas,-10
,
California,42.5
,
Colorado,43
,
Connecticut,38
,
Delaware,30.5
,
Florida,-1.75
,
Georgia,0.5
,
Hawaii,31.5
,
Idaho,2.25
,
Illinois,37.5
,
Indiana,-1
,
Iowa,13
,
Kansas,2
,
Kentucky,3.25
,
Louisiana,-3
,
Maine,40.5
,
Maryland,33.5
,
Massachusetts,35
,
Michigan,22
,
Minnesota,35
,
Mississippi,-4.5
,
Missouri,-0.25
,
Montana,-2.5
,
Nebraska,1.75
,
Nevada,41.5
,
New Hampshire,31.5
,
New Jersey,39.25
,
New Mexico,31
,
New York,40.5
,
North Carolina,6.25
,
North Dakota,8.75
,
Ohio,9.75
,
Oklahoma,-5.25
,
Oregon,37.5
,
Pennsylvania,16.5
,
Rhode Island,34
,
South Carolina,-4.5
,
South Dakota,-5.5
,
Tennessee,-12.5
,
Texas,-0.5
,
Utah,9.25
,
Vermont,38.5
,
Virginia,26.5
,
Washington,38.25
,
West Virginia,4.5
,
Wisconsin,17.5
,
Wyoming,2.25
,
