state,year,Policy,Policy_Value
Alabama,2000,Genderchange_x,0
Alabama,2001,Genderchange_x,0
Alabama,2002,Genderchange_x,0
Alabama,2003,Genderchange_x,0
Alabama,2004,Genderchange_x,0
Alabama,2005,Genderchange_x,0
Alabama,2006,Genderchange_x,0
Alabama,2007,Genderchange_x,0
Alabama,2008,Genderchange_x,0
Alabama,2009,Genderchange_x,0
Alabama,2010,Genderchange_x,0
Alabama,2011,Genderchange_x,0
Alabama,2012,Genderchange_x,0
Alabama,2013,Genderchange_x,0
Alabama,2014,Genderchange_x,0
Alabama,2015,Genderchange_x,0
Alabama,2016,Genderchange_x,0
Alabama,2017,Genderchange_x,0
Alabama,2018,Genderchange_x,0
Alabama,2019,Genderchange_x,0
Alabama,2020,Genderchange_x,0
Alabama,2021,Genderchange_x,0
Alabama,2022,Genderchange_x,0
Alabama,2023,Genderchange_x,0
Alabama,2000,No_genderchange,0
Alabama,2001,No_genderchange,0
Alabama,2002,No_genderchange,0
Alabama,2003,No_genderchange,0
Alabama,2004,No_genderchange,0
Alabama,2005,No_genderchange,0
Alabama,2006,No_genderchange,0
Alabama,2007,No_genderchange,0
Alabama,2008,No_genderchange,0
Alabama,2009,No_genderchange,0
Alabama,2010,No_genderchange,0
Alabama,2011,No_genderchange,0
Alabama,2012,No_genderchange,0
Alabama,2013,No_genderchange,0
Alabama,2014,No_genderchange,0
Alabama,2015,No_genderchange,0
Alabama,2016,No_genderchange,0
Alabama,2017,No_genderchange,0
Alabama,2018,No_genderchange,0
Alabama,2019,No_genderchange,0
Alabama,2020,No_genderchange,0
Alabama,2021,No_genderchange,0
Alabama,2022,No_genderchange,0
Alabama,2023,No_genderchange,0
Alabama,2000,No_surgery_genderchange,0
Alabama,2001,No_surgery_genderchange,0
Alabama,2002,No_surgery_genderchange,0
Alabama,2003,No_surgery_genderchange,0
Alabama,2004,No_surgery_genderchange,0
Alabama,2005,No_surgery_genderchange,0
Alabama,2006,No_surgery_genderchange,0
Alabama,2007,No_surgery_genderchange,0
Alabama,2008,No_surgery_genderchange,0
Alabama,2009,No_surgery_genderchange,0
Alabama,2010,No_surgery_genderchange,0
Alabama,2011,No_surgery_genderchange,0
Alabama,2012,No_surgery_genderchange,0
Alabama,2013,No_surgery_genderchange,0
Alabama,2014,No_surgery_genderchange,0
Alabama,2015,No_surgery_genderchange,0
Alabama,2016,No_surgery_genderchange,0
Alabama,2017,No_surgery_genderchange,0
Alabama,2018,No_surgery_genderchange,0
Alabama,2019,No_surgery_genderchange,0
Alabama,2020,No_surgery_genderchange,0
Alabama,2021,No_surgery_genderchange,0
Alabama,2022,No_surgery_genderchange,0
Alabama,2023,No_surgery_genderchange,0
Alabama,2000,bathroom_ban,0
Alabama,2001,bathroom_ban,0
Alabama,2002,bathroom_ban,0
Alabama,2003,bathroom_ban,0
Alabama,2004,bathroom_ban,0
Alabama,2005,bathroom_ban,0
Alabama,2006,bathroom_ban,0
Alabama,2007,bathroom_ban,0
Alabama,2008,bathroom_ban,0
Alabama,2009,bathroom_ban,0
Alabama,2010,bathroom_ban,0
Alabama,2011,bathroom_ban,0
Alabama,2012,bathroom_ban,0
Alabama,2013,bathroom_ban,0
Alabama,2014,bathroom_ban,0
Alabama,2015,bathroom_ban,0
Alabama,2016,bathroom_ban,0
Alabama,2017,bathroom_ban,0
Alabama,2018,bathroom_ban,0
Alabama,2019,bathroom_ban,0
Alabama,2020,bathroom_ban,0
Alabama,2021,bathroom_ban,0
Alabama,2022,bathroom_ban,1
Alabama,2023,bathroom_ban,1
Alabama,2000,decrim_same_sex,0
Alabama,2001,decrim_same_sex,0
Alabama,2002,decrim_same_sex,0
Alabama,2003,decrim_same_sex,1
Alabama,2004,decrim_same_sex,1
Alabama,2005,decrim_same_sex,1
Alabama,2006,decrim_same_sex,1
Alabama,2007,decrim_same_sex,1
Alabama,2008,decrim_same_sex,1
Alabama,2009,decrim_same_sex,1
Alabama,2010,decrim_same_sex,1
Alabama,2011,decrim_same_sex,1
Alabama,2012,decrim_same_sex,1
Alabama,2013,decrim_same_sex,1
Alabama,2014,decrim_same_sex,1
Alabama,2015,decrim_same_sex,1
Alabama,2016,decrim_same_sex,1
Alabama,2017,decrim_same_sex,1
Alabama,2018,decrim_same_sex,1
Alabama,2019,decrim_same_sex,1
Alabama,2020,decrim_same_sex,1
Alabama,2021,decrim_same_sex,1
Alabama,2022,decrim_same_sex,1
Alabama,2023,decrim_same_sex,1
Alabama,2000,dont_say_gay,1
Alabama,2001,dont_say_gay,1
Alabama,2002,dont_say_gay,1
Alabama,2003,dont_say_gay,1
Alabama,2004,dont_say_gay,1
Alabama,2005,dont_say_gay,1
Alabama,2006,dont_say_gay,1
Alabama,2007,dont_say_gay,1
Alabama,2008,dont_say_gay,1
Alabama,2009,dont_say_gay,1
Alabama,2010,dont_say_gay,1
Alabama,2011,dont_say_gay,1
Alabama,2012,dont_say_gay,1
Alabama,2013,dont_say_gay,1
Alabama,2014,dont_say_gay,1
Alabama,2015,dont_say_gay,1
Alabama,2016,dont_say_gay,1
Alabama,2017,dont_say_gay,1
Alabama,2018,dont_say_gay,1
Alabama,2019,dont_say_gay,1
Alabama,2020,dont_say_gay,1
Alabama,2021,dont_say_gay,1
Alabama,2022,dont_say_gay,1
Alabama,2023,dont_say_gay,1
Alabama,2000,gac_ban,0
Alabama,2001,gac_ban,0
Alabama,2002,gac_ban,0
Alabama,2003,gac_ban,0
Alabama,2004,gac_ban,0
Alabama,2005,gac_ban,0
Alabama,2006,gac_ban,0
Alabama,2007,gac_ban,0
Alabama,2008,gac_ban,0
Alabama,2009,gac_ban,0
Alabama,2010,gac_ban,0
Alabama,2011,gac_ban,0
Alabama,2012,gac_ban,0
Alabama,2013,gac_ban,0
Alabama,2014,gac_ban,0
Alabama,2015,gac_ban,0
Alabama,2016,gac_ban,0
Alabama,2017,gac_ban,0
Alabama,2018,gac_ban,0
Alabama,2019,gac_ban,0
Alabama,2020,gac_ban,0
Alabama,2021,gac_ban,0
Alabama,2022,gac_ban,1
Alabama,2023,gac_ban,1
Alabama,2000,hate_crimes_gayonly,0
Alabama,2001,hate_crimes_gayonly,0
Alabama,2002,hate_crimes_gayonly,0
Alabama,2003,hate_crimes_gayonly,0
Alabama,2004,hate_crimes_gayonly,0
Alabama,2005,hate_crimes_gayonly,0
Alabama,2006,hate_crimes_gayonly,0
Alabama,2007,hate_crimes_gayonly,0
Alabama,2008,hate_crimes_gayonly,0
Alabama,2009,hate_crimes_gayonly,0
