state,year,dont_say_gay,hate_crimes_nolgbt,same_sex_marriage_ban,relig_lib_protection_discrim,decrim_same_sex,sports_ban,bathroom_ban,gac_ban,surgery_require_genderchange,lgbt_discrim_protect,lgbt_discrim_expire_rescind,hate_crimes_gayonly,conversion_ban,preemption_discrim,hate_crimeslgbt,Genderchange_x,No_surgery_genderchange,No_genderchange,same_sex_marriage_legal,Dim.1,Dim.2,std_1,std_2
Alabama,2000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022634,4.43126974040006,-1.56760954287218,-2.68377083585495
Alabama,2001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022517,4.43126974039886,-1.56760954287152,-2.68377083585422
Alabama,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022552,4.43126974040042,-1.56760954287172,-2.68377083585517
Alabama,2003,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022578,4.4312697404007,-1.56760954287186,-2.68377083585534
Alabama,2004,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022556,4.43126974040037,-1.56760954287174,-2.68377083585514
Alabama,2005,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022555,4.43126974040038,-1.56760954287173,-2.68377083585514
Alabama,2006,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022556,4.43126974040039,-1.56760954287174,-2.68377083585515
Alabama,2007,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022553,4.43126974040029,-1.56760954287172,-2.68377083585509
Alabama,2008,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022555,4.43126974040035,-1.56760954287174,-2.68377083585513
Alabama,2009,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022556,4.4312697404003,-1.56760954287174,-2.6837708358551
Alabama,2010,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022557,4.43126974040039,-1.56760954287174,-2.68377083585515
Alabama,2011,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022558,4.43126974040028,-1.56760954287175,-2.68377083585508
Alabama,2012,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022555,4.43126974040039,-1.56760954287174,-2.68377083585515
Alabama,2013,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022557,4.4312697404004,-1.56760954287175,-2.68377083585516
Alabama,2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78861192022556,4.43126974040039,-1.56760954287174,-2.68377083585515
Alabama,2015,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.26265452351275,5.20724694807465,-0.709797324630478,-3.15373658410507
Alabama,2016,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.26265452351282,5.20724694807466,-0.709797324630513,-3.15373658410508
Alabama,2017,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.26265452351284,5.20724694807467,-0.709797324630526,-3.15373658410508
Alabama,2018,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.26265452351279,5.20724694807466,-0.709797324630498,-3.15373658410508
Alabama,2019,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.26265452351281,5.20724694807466,-0.709797324630512,-3.15373658410508
Alabama,2020,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2626545235128,5.20724694807467,-0.709797324630502,-3.15373658410508
Alabama,2021,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.11160175445418,7.25880667327995,-0.624883478951202,-4.39625091545415
Alabama,2022,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-0.781560782242889,13.1270294958089,-0.439351969950395,-7.95030340876496
Alabama,2023,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-0.781560782242937,13.1270294958089,-0.439351969950423,-7.95030340876497
Alaska,2000,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2001,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2002,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2003,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2004,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2005,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2006,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2007,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2008,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2009,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2010,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2011,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2012,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2013,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.91297775882159,-0.0686859208686012,-1.07537451456765,0.0415991988888361
Alaska,2014,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2015,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2016,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2017,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2018,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2019,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.387020362108824,0.707291286805674,-0.217562296326409,-0.428366549361092
Alaska,2020,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.420906421097756,0.485609751435224,0.236611239299108,-0.294106512322351
Alaska,2021,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.420906421097756,0.485609751435224,0.236611239299108,-0.294106512322351
Alaska,2022,0,1,0,0,1,0,0,0,1,1,2022,0,0,0,0,0,0,0,1,0.420906421097756,0.485609751435224,0.236611239299108,-0.294106512322351
Alaska,2023,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.571959190156346,2.53716947664052,0.321525084978392,-1.53662084367142
Arizona,2000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2001,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2002,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2003,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2004,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2005,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2006,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2007,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2008,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2009,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2010,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2011,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2012,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2013,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6854708578637,-0.909308764588791,-0.947482215741818,0.550717172764654
Arizona,2014,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.159513461150937,-0.133331556914516,-0.0896699975005786,0.0807514245147254
Arizona,2015,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.159513461150937,-0.133331556914516,-0.0896699975005786,0.0807514245147254
Arizona,2016,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.159513461150937,-0.133331556914516,-0.0896699975005786,0.0807514245147254
