state,year,policy,bill_no,description,status,adopted,date_passed,branch,author,party,topic_area,direction,source,notes,coder,adoption_bin,direction1,topic1
MI,2023,sports_ban,HB4546,requires athletes to be scored according to biological sex,2,0,-99,legislative,James Greene,GOP,sports ban,restricting,https://legiscan.com/MI/bill/HB4546/2023,,Scott,0,restrictive,Sports
MI,2023,school_accom_restriction,HB4510,requires facilities to be restricting to assigned gender at birth,2,0,-99,legislative,Matthew Maddock,GOP,education,restricting,https://legiscan.com/MI/bill/HB4510/2023,,Scott,0,restrictive,Education
MI,2023,care_ban_minor,HB4539,criminal penalties for providing gender affirming care to minors,2,0,-99,legislative,Brad Paquette,GOP,medical,restricting,https://legiscan.com/MI/bill/HB4539/2023,,Scott,0,restrictive,Health
MI,2023,care_ban_minor,HB4540,criminal penalties for puberty blockers or gender reassignment penalty to minors,2,0,-99,legislative,Brad Paquette,GOP,medical,restricting,https://legiscan.com/MI/bill/HB4540/2023,,Scott,0,restrictive,Health
MI,2023,religious_lib,HB4345,allows for religious/private organizations to be exempt from anti-discrimination protections on basis of gender or sexual orientation,2,0,-99,legislative,Bill Schuette,GOP,discrimination,restricting,https://legiscan.com/MI/bill/HB4345/2023,,Scott,0,restrictive,Discrimination
MI,2023,care_ban_minor,HB4257,penalties for parents who procure gender transition surgeries/hormones for minors,2,0,-99,legislative,Steve Carra,GOP,medical,restricting,https://legiscan.com/MI/bill/HB4257/2023,,Scott,0,restrictive,Health
MI,2023,school_accom_restriction,HB4195,restriction of bathrooms to biological sex in schools,2,0,-99,legislative,Joseph Fox,GOP,education,restricting,https://legiscan.com/MI/bill/HB4195/2023,,Scott,0,restrictive,Education
MI,2023,religious_lib,HB4075,increased protection for religious liberty/protection to discriminate,2,0,-99,legislative,Andrew Fink,GOP,discrimination,restricting,https://legiscan.com/MI/bill/HB4075/2023,,Scott,0,restrictive,Discrimination
MI,2023,lgbt_discrim_protect,SB0004,adds sexual orientation and gender identity to protected classes,3,1,1679356800,legislative,Jeremy Moss,Dem,discrimination,expanding,https://legiscan.com/MI/bill/SB0004/2023,HB4003 was house equivalent,Scott,1,expansive,Discrimination
MI,2023,gay_family_insurance,HB4619,prohibits insurers from denying coverage based on sexual orientation or gender,2,0,-99,legislative,Julie Rogers,Dem,medical,expanding,https://legiscan.com/MI/bill/HB4619/2023,,Scott,0,expansive,Health
MI,2023,panic_defense_prohibition,HB4718,prohibits allowing sexual orientation or gender identity as defense of a crime,2,0,-99,legislative,Laurie Pohutsky,Dem,safety,expanding,https://legiscan.com/MI/sponsors/HB4718/2023,,Scott,0,expansive,Safety
MI,2023,conversion_therapy_restriction,HB4616,prohibits conversion therapy,3,1,1689638400,legislative,Felicia Brabec,Dem,medical,expanding,https://www.legislature.mi.gov/(S(5md22s4pfmpscgjpffjgcrzb))/mileg.aspx?page=GetObject&objectname=2023-HB-4616,,Scott,1,expansive,Health
MI,2023,insurance_coverage_require,HB4619,"prohibits insurance company for denying coverage based on gender, gender ID, or orientation",3,1,1697673600,legislative,Julie Rogers,Dem,medical,expanding,https://legiscan.com/MI/sponsors/HB4619/2023,,Scott,1,expansive,Health
MI,2023,nonbinary_recognition,HB5302,allows for genderal neutral option on state id card,2,0,-99,legislative,Felicia Brabec,Dem,legal recognition,expanding,https://legiscan.com/MI/sponsors/HB5302/2023,,Scott,0,expansive,Legal
MI,2023,inclusive_language,HB4690,makes marriage law language gender neutral,2,0,-99,legislative,Mike McFall,Dem,other,expanding,https://legiscan.com/MI/sponsors/HB4790/2023,,Scott,0,expansive,Other
TN,2023,parental_rights_general,SB117,"allows parents to pull students from participating in classroom activities, surveys, etc",2,0,-99,legislative,Janince Bowling,GOP,education,restricting,https://legiscan.com/TN/drafts/SB1117/2023,companion bill is HB1411,Scott,0,restrictive,Education
TN,2023,care_restriction_minor,SB1469,clarifies that hormone treatment for minors is not standard practice for minors,2,0,-99,legislative,Jack Johnson,GOP,medical,restricting,https://legiscan.com/TN/drafts/SB1469/2023,companion bill is HB1447,Scott,0,restrictive,Health
TN,2023,marriage_ban,HB1386,defines marriage as between one man and one women- says court has no authority to change that,2,0,-99,legislative,Janince Bowling,GOP,families,restricting,https://legiscan.com/TN/text/SB1110/2023,companion bill is SB1110,Scott,0,restrictive,Family
TN,2023,legal_recognition_negative,SB1440,"defines sex as binary, biological and genetic",3,1,1684886400,legislative,Kerry Roberts,GOP,discrimination,restricting,https://legiscan.com/TN/text/SB1440/id/2676142,companion bill to HB239,Scott,1,restrictive,Discrimination
TN,2023,name_pronoun_restriction,HB1269,specifies that a teacher is not required to refer to student using preferred pronouns,3,1,1684886400,legislative,Mark Cochran,GOP,education,restricting,https://legiscan.com/TN/bill/HB1269/2023,companion bill to SB466,Scott,1,restrictive,Education
TN,2023,sports_restriction,SB1237,allows private schools to segregate sports by biological sex,3,1,1682640000,legislative,Joseph Hensley,GOP,sports,restricting,https://legiscan.com/TN/sponsors/SB1237/2023,companion bill to HB306,Scott,1,restrictive,Sports
TN,2023,parental_rights_general,HB1414,affirms rights of parents to be in charge of children's upbringing,2,0,-99,legislative,Chris Todd,GOP,education,restricting,https://legiscan.com/TN/research/HB1414/2023,companion bill to SB620,Scott,0,restrictive,Education
TN,2023,parental_rights_transition,HB1414,requires parental permission before changing child's nicknames or pronouns,2,0,-99,legislative,Chris Todd,GOP,education,restricting,https://legiscan.com/TN/research/HB1414/2023,companion bill to SB620,Scott,0,restrictive,Education
TN,2023,care_ban_minor,HB1378,"bans GAC such as puberty blockers, surgery, etc",2,0,-99,legislative,John Ragan,GOP,medical,restricting,https://legiscan.com/TN/bill/HB1378/2023,companion bill to sb5,Scott,0,restrictive,Health
TN,2023,forced_outing,HB1378,"requires any state employee to notify parents if child showing signs of gender dysphoria, etc",2,0,-99,legislative,John Ragan,GOP,education,restricting,https://legiscan.com/TN/bill/HB1378/2023,companion bill to sb5,Scott,0,restrictive,Education
TN,2023,care_ban_minor,HB1,bans healthcare providers from performing GAC,3,1,1677715200,legislative,William Lamberth,GOP,medical,restricting,https://legiscan.com/TN/text/HB0001/id/2756066,companion bill to SB1,Scott,1,restrictive,Health
TN,2023,care_ban_minor,SB0005,bans administering gender affirming car for minors,2,0,-99,legislative,Janince Bowling,GOP,medical,restricting,https://legiscan.com/TN/text/SB0005/id/2613440,,Scott,0,restrictive,Health
TN,2023,dei_ban,HB0571,probhibits public instiutions from requiring DEI training,2,0,-99,legislative,Michele Carringer,GOP,other,restricting,https://legiscan.com/TN/text/HB0571/2023,companion bill to SB603,Scott,0,restrictive,Other
TN,2023,religious_lib,HB878,allows someone to refuse to solemnize a marriage on basis of religious beliefs,2,0,-99,legislative,Monty Fritts,GOP,discrimination,restricting,https://legiscan.com/TN/text/HB0878/id/2670622,companion bill to  SB 596,Scott,0,restrictive,Discrimination
TN,2023,drag_restriction,SB841,"classifies drag as adult entertainment, prevents minors from being there",1,0,-99,legislative,Joseph Hensley,GOP,public presence,restricting,https://legiscan.com/TN/drafts/SB0841/2023,companion bill to HB30,Scott,0,restrictive,Public_Precence
TN,2023,drag_restriction,SB3,criminalizes drag performance in the presence of a minor,3,1,1677715200,legislative,Jack Johnson,GOP,public presence,restricting,https://legiscan.com/TN/drafts/SB0003/2023,companion bill to HB9,Scott,1,restrictive,Public_Precence
TN,2023,campaign_finance,HB0134,"exempts churches from campaign disclosure when  spending money on morality issues, including marraige",2,0,-99,legislative,Kirk Haston,GOP,other,neutral,https://legiscan.com/TN/sponsors/HB0134/2023,,Scott,0,neutral,Other
TN,2023,hate_crimes_prohibition,HB7018,adds hate crime status to stalking if done because person being stalked is a gender-affirming care provider,1,0,-99,legislative,Anthony Davis,DEM,safety,expanding,https://legiscan.com/TN/sponsors/HB7018/2023,,Scott,0,expansive,Safety
TN,2023,hate_crimes_prohibition,HB7019,adds hate crime status to mass violence charges if done because person being stalked is a gender-affirming casre provider,1,0,-99,legislative,Anthony Davis,DEM,safety,expanding,https://legiscan.com/TN/sponsors/HB7018/2023,,Scott,0,expansive,Safety
TN,2023,hate_crimes_prohibition,HB7021,adds hate crime status to crime of threatening mass voilence if done because person being stalked is a gender-affirming casre provider,1,0,-99,legislative,Anthony Davis,DEM,safety,expanding,https://legiscan.com/TN/sponsors/HB7018/2023,,Scott,0,expansive,Safety
MO,2023,anti_esg,HB1333,"restricts ability for state pensions to divest from groups or invest based on envrionmental, social, or other considerations",2,0,-99,legislative,Justin Sparks,GOP,economics,restricting,https://legiscan.com/MO/bill/HB1333/2023,,Scott,0,restrictive,Economics
MO,2023,parental_rights_transition,HB1258,requires parental permission before changing child's nicknames or pronouns,2,0,-99,legislative,Hardy Billington,GOP,education,restricting,https://legiscan.com/MO/text/HB1258/id/2716421,,Scott,0,restrictive,Education
MO,2023,name_pronoun_restriction,HB1258,no employee shall be required to refer to someone by pronouns other than bilogical sex if it violates their beliefs,2,0,-99,legislative,Hardy Billington,GOP,education,restricting,https://legiscan.com/MO/text/HB1258/id/2716421,,Scott,0,restrictive,Education
MO,2023,drag_restriction,SB693,criminalizes drag performance in the presence of a minor,2,0,-99,legislative,William Eigel,GOP,public presence,restricting,https://legiscan.com/MO/text/SB693/id/2721802,,Scott,0,restrictive,Public_Precence
MO,2023,deny_healthcare_beliefs,HB1157,prohibits discrimination against healthcare providers who refuse to provide  gender affirming care,2,0,-99,legislative,Brad Hudson,GOP,medical,restricting,https://legiscan.com/MO/bill/HB1157/2023,,Scott,0,restrictive,Health
MO,2023,dei_ban,HB75,bans dei training/instruction in public facilities,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/bill/HB75/2023,,Scott,0,restrictive,Education
MO,2023,discussion_ban,SB390,bans instruction on gender or sexual orientation through 3rd grade/developmental appropriateness,2,0,-99,legislative,Rick Brattin,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB390/2023,,Scott,0,restrictive,Education
MO,2023,care_ban_minor,SB598,bans transition procedures for minors,2,0,-99,legislative,Rick Brattin,GOP,medical,restricting,https://legiscan.com/MO/text/SB598/id/2684043,,Scott,0,restrictive,Health
MO,2023,divisive_content_ban,SB42,"bans divisive content in curriculum of schools such as instruction on gender, race, etc",2,0,-99,legislative,Rick Brattin,GOP,education,restricting,https://legiscan.com/MO/text/SB598/id/2684043,,Scott,0,restrictive,Education
MO,2023,sports_ban,SB42,bans participation in women's sports for anyone who was not biologically female,2,0,-99,legislative,Denny Hoskins,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB2/2023,,Scott,0,restrictive,Sports
MO,2023,sports_restriction_allow,SB48,blocks government agencies from opening complaints against organizations that segregate teams by biological sex,2,0,-99,legislative,Mike Moon,GOP,sports,restricting,https://legiscan.com/MO/bill/SB48/2023,,Scott,0,restrictive,Sports
MO,2023,sports_restriction,SB48,defunds any educational institution that doesn't segregate sports by biological sex,2,0,-99,legislative,Mike Moon,GOP,sports,restricting,https://legiscan.com/MO/bill/SB48/2023,,Scott,0,restrictive,Sports
MO,2023,sports_restriction_allow,SB2,blocks government agencies from opening complaints against organizations that segregate teams by biological sex,2,0,-99,legislative,Denny Hoskins,GOP,sports,restricting,https://legiscan.com/MO/bill/SB2/2023,,Scott,0,restrictive,Sports
MO,2023,sports_restriction,SB2,defunds any educational institution that doesn't segregate sports by biological sex,2,0,-99,legislative,Denny Hoskins,GOP,sports,restricting,https://legiscan.com/MO/bill/SB2/2023,,Scott,0,restrictive,Sports
MO,2023,sports_restriction,HB170,"forces schools to establish sex segregated sports, with a 3rd coed category",2,0,-99,legislative,Brian Seitz,GOP,sports,restricting,https://legiscan.com/MO/bill/HB170/2023,,Scott,0,restrictive,Sports
MO,2023,sports_ban,SB29,prohibits participation in sports team outside of biological sex,2,0,-99,legislative,Tony Luetkemeyer,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB29/2023,,Scott,0,restrictive,Sports
MO,2023,sports_ban,HB183,sports ban at post-secondary level,2,0,-99,legislative,Mike Moon,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB48/2023,,Scott,0,restrictive,Sports
MO,2023,sports_ban,HB337,sports segregation by biological sex,2,0,-99,legislative,Bennie Cook,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB48/2023,,Scott,0,restrictive,Sports
MO,2023,sports_ban,SB39,bans participation in women's sports for anyone who was not biologically female,3,1,1686096000,legislative,Holly Thompson Rehder,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB39/2023,,Scott,1,restrictive,Sports
MO,2023,sports_restriction,SB39,removes state aid from schools that do no segregate sports by sex,3,1,1686096000,legislative,Holly Thompson Rehder,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB39/2023,,Scott,1,restrictive,Sports
MO,2023,student_sport_retribution,SB39,"allows families to sue institutions for ""harm""",3,1,1686096000,legislative,Holly Thompson Rehder,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB39/2023,,Scott,1,restrictive,Sports
MO,2023,sports_restriction,SB165,"allows parents to sue for ""harm"" if school doesn't segregate sports",2,0,-99,legislative,Jill Carter,GOP,sports,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive,Sports
