claimed,revisit,state,policy,adoption,adoption_year,comments/notes
Margot,Margot,Alabama,same_sex_marriage_ban,1,1996,"executive order in 96, statute in 98, and constitutional amendment in 06"
Margot,Margot,Alaska,same_sex_marriage_ban,1,1996,passed by the legislature
Margot,Margot,Arizona,same_sex_marriage_ban,1,1996,"statute in 96, constitutional amendment approved by voters in 08"
Margot,Margot,Arkansas,same_sex_marriage_ban,1,1997,passed by the legislature
Margot,Margot,California,same_sex_marriage_ban,1,1977,"legislature revised existing marraige law in 77, State court ruled legal in 2008, prop 8 banned in 2008, supreme court overturned prop 8 in 2013"
Margot,Margot,Colorado,same_sex_marriage_ban,1,2000,"passed by the legislature, gov signed after two previous vetos in 96 and 97, constitutional amendment passed by voters in 06"
Margot,Margot,Connecticut,same_sex_marriage_ban,0,,"as far as i can tell—not fully banned, but not protected either"
Margot,Margot,Delaware,same_sex_marriage_ban,,,
Margot,Margot,Florida,same_sex_marriage_ban,1,1977,"statute, constitutional amendment passed by voters in 08"
Margot,Margot,Georgia,same_sex_marriage_ban,1,2004,constitutional amendment passed by voters
Margot,Margot,Hawaii,same_sex_marriage_ban,1,1998,constitutional amendment passed by voters
Margot,Margot,Idaho,same_sex_marriage_ban,1,1995,legislature amended existing marraige statutes
Margot,Margot,Illinois,same_sex_marriage_ban,1,1996,legislature amended existing marraige statutes
Margot,Margot,Indiana,same_sex_marriage_ban,1,1986,statute 
Margot,Margot,Iowa,same_sex_marriage_ban,0,,
Margot,Margot,Kansas,same_sex_marriage_ban,1,1996,"banned by legislature in 1996, constitutional amendment passed by legislature and voters in 05"
Margot,Margot,Kentucky,same_sex_marriage_ban,1,1998,"banned by legislature in 1998, constitutional amendment passed voters in 04"
Margot,Margot,Louisiana,same_sex_marriage_ban,1,1988,"civil code was expanded to ban in 88, voters passed const amendment in 04"
Margot,Margot,Maine,same_sex_marriage_ban,1,1997,passed by legislature
Margot,Margot,Maryland,same_sex_marriage_ban,1,1973,"passed by legislature, first same-sex marriage ban in the country"
Margot,Margot,Massachusetts,same_sex_marriage_ban,0,,
Margot,Margot,Michigan,same_sex_marriage_ban,1,1995,"passed by legislature, constitutional amendment approved by voters in 04"
Margot,Margot,Minnesota,same_sex_marriage_ban,1,1997,statute
Margot,Margot,Mississippi,same_sex_marriage_ban,1,1996,"executive order in 96, legislature in 97, constitutional amendment by legislature and voters in 04"
Margot,Margot,Missouri,same_sex_marriage_ban,1,2004,
Margot,Margot,Montana,same_sex_marriage_ban,1,1997,"legislature in 97, constitutional amendment approved by voters in 04"
Margot,Margot,Nebraska,same_sex_marriage_ban,1,2000,constitutional amendment passed by voters
